"Response ID","Date submitted","Last page","Start language","Date started","Date last action","IP address","Dieses Survey dient dazu die NLQ-Fragebögen zu digitalisieren. Bei Fragen wenden Sie sich bitte an ihren Auftraggeber! Möge die Arbeit schnell und entspannend von der Hand gehen!","Links unten befindet sich ein Schul-code (z.B. GSWF100). Trage diesen hier ein:","Auf dem Fragebogen ist unten links eine Zahl mit Kugelschreiber hinzugefügt worden (z.B. 1). Trage diese hier ein:","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Trage jeden Satz in eine neue Zeile ein. Übernehme alles - auch Fehler! Kommentare, falls Zeichnungen gemacht wurden können mit ""{ }"" angegeben werden. []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! [ich möchte mehr über Informatik und Technik lernen.]","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! []","Umseitig bei ""2."" sind mehrere Smileys abgebildet. Übertrage die gemachten Kreuze genau wie diese auf dem Fragebogen angegeben sind: also von :D über :( bis zu ""ich weiß nicht"" die korrespondierenden Felder anklicken. Letztlich wird das Muster aus Kreuzen vom Fragebogen genauso auf Lime-Survey übertragen. NUR komplett leere Zeilen (wo also noch nicht einmal ""ich weiß nicht"" angekreuzt wurde) erhalten ein ""no answer""! [Ich möchte später einen Beruf haben, der wenig mit Computern und Technik zu tun hat.]","Hier die Antwort zu Geschlecht übertragen."
"83","2019-01-06 19:07:30","1","en","2019-01-06 19:06:32","2019-01-06 19:07:30","93.216.29.88","","GSWF106","12","Warum gibt es Internet?","Warum haben die meisten Menschen Technisch Gerete?","","","","","","","","","","","","","","2","1","1","2","5","Mädchen"
"84","2019-01-06 19:08:25","1","en","2019-01-06 19:07:31","2019-01-06 19:08:25","93.216.29.88","","GSWF106","13","Arbeiten Roboter in Krankenhausern?","Gibt es selbst fahrende Trecker","","","","","","","","","","","","","","3","2","4","4","1","Junge"
"85","2019-01-06 19:09:27","1","en","2019-01-06 19:08:32","2019-01-06 19:09:27","93.216.29.88","","GSWF106","14","Wieso gibt es Youtub?","Wiso gibt es Internet?","Wiso gibt es Roboter?","","","","","","","","","","","","","2","1","3","5","5","Junge"
"86","2019-01-06 19:11:02","1","en","2019-01-06 19:09:29","2019-01-06 19:11:02","93.216.29.88","","GSWF106","15","Aus was wird ein Handy gebaut?","Wie Lange dauert es ein Computer zu bauen?","Wie Lange dauert es ein Computer zu programmiermen?","Woltes du schon umer eine Expertin werden?","","","","","","","","","","","","2","1","2","3","2","Mädchen"
"87","2019-01-06 19:11:58","1","en","2019-01-06 19:11:04","2019-01-06 19:11:58","93.216.29.88","","GSWF106","16","Wieso giebt es Technik?","Was sind Roboter?","Warum giebt es Internet?","Was ist Strom?","","","","","","","","","","","","3","3","2","3","3","keine Antwort"
"88","2019-01-06 19:13:12","1","en","2019-01-06 19:12:02","2019-01-06 19:13:12","93.216.29.88","","GSWF106","17","Wird es irgendwann Roboter geben?","und wenn ja?","Welche aufgabe haben sie denn?","Oder giebt es schon bestimmte Roboter?","","","","","","","","","","","","1","5","1","1","4","Junge"
"89","2019-01-06 19:14:55","1","en","2019-01-06 19:13:51","2019-01-06 19:14:55","93.216.29.88","","GSWF109","1","Wie kann man E-Mails und so weiter ferschicken?","Wie Schaft man es so was Cooles Erfinden?","","","","","","","","","","","","","","1","2","1","1","4","Junge"
"90","2019-01-06 19:17:06","1","en","2019-01-06 19:15:24","2019-01-06 19:17:06","93.216.29.88","","GSWF109","2","Werden bald die Menschen mit Drohnen fliegen?","Werden bald (in der Zukunft) Flugzeuge mit lichtgeschwindigkeit fliegen?","Kann man Bald Portale erstellen um Zeutzureisen.","","","","","","","","","","","","","1","1","1","1","4","Junge"
"91","2019-01-06 19:18:15","1","en","2019-01-06 19:17:10","2019-01-06 19:18:15","93.216.29.88","","GSWF109","3","Wie kann man von weiter weg anrufen?","Was war die beste Erfindung?","","","","","","","","","","","","","","1","1","2","1","4","Junge"
"92","2019-01-06 19:19:11","1","en","2019-01-06 19:18:18","2019-01-06 19:19:11","93.216.29.88","","GSWF109","4","Wie wird ein Robeter gebaut.","Wir kann ich besseres internet haben kann.","","","","","","","","","","","","","","2","2","2","1","2","Junge"
"93","2019-01-06 19:19:51","1","en","2019-01-06 19:19:12","2019-01-06 19:19:51","93.216.29.88","","GSWF109","5","Wie fungtzionieren Fernsehr?","","","","","","","","","","","","","","","2","1","1","2","3","Junge"
"94","2019-01-06 19:21:06","1","en","2019-01-06 19:19:53","2019-01-06 19:21:06","93.216.29.88","","GSWF109","6","Meine erste frage wäre wie man programieren kann.","Dann würde ich gerne wissen wie Computer, Handys, Spielekonsolen usw. bauen kann.","","","","","","","","","","","","","","1","1","1","1","4","Junge"
"95","2019-01-06 19:23:26","1","en","2019-01-06 19:21:08","2019-01-06 19:23:26","93.216.29.88","","GSWF109","7","Wie Wreden Handy Eingehgelich gebaut?","Wie Wurdt ein Roboter gesch-uen.","mmein Handy in der zuckuck","","","","","","","","","","","","","1","1","1","1","4","Mädchen"
"96","2019-01-06 19:24:14","1","en","2019-01-06 19:23:28","2019-01-06 19:24:14","93.216.29.88","","GSWF109","8","Wie funktionieren Handy und Computer.","","","","","","","","","","","","","","","1","3","3","1","2","anderes Geschlecht"
"97","2019-01-06 19:25:38","1","en","2019-01-06 19:24:18","2019-01-06 19:25:38","93.216.29.88","","GSWF109","9","Wie funksennirt die Technick?","Wie progra-miert mann etwas?","Wie funksenniren Autos?","","","","","","","","","","","","","2","2","1","2","4","Junge"
"98","2019-01-06 19:36:51","1","en","2019-01-06 19:35:55","2019-01-06 19:36:51","93.216.29.88","","GSWF109","10","Ich möchte das mein Handy das was ich: spiele an die Wand Leuchtet geht das?","","","","","","","","","","","","","","","1","2","1","3","2","Junge"
"99","2019-01-06 19:38:08","1","en","2019-01-06 19:36:53","2019-01-06 19:38:08","93.216.29.88","","GSWF109","11","Wie baut man Handys!","Wie baut man Roboter!","Gibt es urgent wan vligende Autos!","","","","","","","","","","","","","1","2","1","2","3","Junge"
"100","2019-01-06 19:38:56","1","en","2019-01-06 19:38:15","2019-01-06 19:38:56","93.216.29.88","","GSWF109","12","Gibt es Handys die was anderes kann als Telefonieren usw.","","","","","","","","","","","","","","","1","1","2","3","2","Junge"
"101","2019-01-06 19:39:37","1","en","2019-01-06 19:38:58","2019-01-06 19:39:37","93.216.29.88","","GSWF109","13","Wie funksioniert Internet?","","","","","","","","","","","","","","","1","1","4","1","4","Junge"
"102","","","en","2019-01-29 08:35:15","2019-01-29 08:35:15","93.216.28.86","","","","","","","","","","","","","","","","","","","","","","","",""
"103","2019-01-30 14:28:23","1","en","2019-01-30 14:25:20","2019-01-30 14:28:23","92.210.63.11","","GSWF131","2","Wird es in Zukunft für alles Computer geben?","Können Roboter so gut unterrichten wie Lehxrer?","","","","","","","","","","","","","","1","1","2","1","4","Mädchen"
"104","2019-01-30 14:29:16","1","en","2019-01-30 14:28:26","2019-01-30 14:29:16","92.210.63.11","","GSWF131","3","Wie funktioniert ein Telefon?","Wie kann das Internet so schnell sein?","","","","","","","","","","","","","","1","1","2","1","3","Mädchen"
"105","2019-01-30 14:29:46","1","en","2019-01-30 14:29:18","2019-01-30 14:29:46","92.210.63.11","","GSWF131","4","","","","","","","","","","","","","","","","1","2","1","1","1","Junge"
"106","2019-01-30 14:30:23","1","en","2019-01-30 14:29:50","2019-01-30 14:30:23","92.210.63.11","","GSWF131","5","","","","","","","","","","","","","","","","1","1","3","1","5","keine Antwort"
"107","2019-01-30 14:32:23","1","en","2019-01-30 14:31:32","2019-01-30 14:32:23","92.210.63.11","","GSWF131","9","Wie die Computer so schnellarbeiten können?","","","","","","","","","","","","","","","1","1","2","1","4","Junge"
"108","2019-01-30 14:33:53","1","en","2019-01-30 14:32:25","2019-01-30 14:33:53","92.210.63.11","","GSWF131","10","ist es schwer gewesen das zu verstehen, ","Gefällt dir der Job, ","Was war dein Traum Job,","","","","","","","","","","","","","1","2","1","3","","keine Antwort"
"109","2019-01-30 14:35:06","1","en","2019-01-30 14:33:59","2019-01-30 14:35:06","92.210.63.11","","Was war dein Traum Job,","11","Wie fuxjuniert eientlich ein Roboter,","wie geht eigent lich ein Handy,","","","","","","","","","","","","","","1","1","1","1","5","Junge"
"110","2019-01-30 14:37:03","1","en","2019-01-30 14:35:11","2019-01-30 14:37:03","92.210.63.11","","GSWF131","12","Wie werden Roboter gebaut?","Wie programmiert man?","Gilt es in Handys Edelmetalle?","Benutzen sie nur technische Geräte zum lesen?","Wie sieht es in der Zukunft aus?","","","","","","","","","","","1","3","3","","2","Mädchen"
"111","2019-01-30 14:39:25","1","en","2019-01-30 14:37:07","2019-01-30 14:39:25","92.210.63.11","","GSWF131","13","Wie werden Roboter gebaut?","Kennen sie meinen Bruder weil er beim Robotercup mit gemacht hat, in der Weltmeisterschaft und ist 6 Platz geworden mit seiner Gruppe.","","","","","","","","","","","","","","1","1","3","1","5","Mädchen"
"112","2019-01-30 14:40:25","1","en","2019-01-30 14:39:31","2019-01-30 14:40:25","92.210.63.11","","GSWF131","14","Wie baut man ein Handy?","Wie kann man mit den ganzen Kabeln von Fehrnsehn umgehen?","","","","","","","","","","","","","","2","3","3","3","2","Mädchen"
"113","2019-01-30 14:41:28","1","en","2019-01-30 14:40:33","2019-01-30 14:41:28","92.210.63.11","","GSWF131","15","Wie hast du dass alles geschaft?","Wie baut mann ein schwierigen Roberter?","","","","","","","","","","","","","","1","1","1","1","4","Mädchen"
"114","2019-01-30 14:51:45","1","en","2019-01-30 14:46:41","2019-01-30 14:51:45","92.210.63.11","","GSWF130","1","Wie end standen die Handys.","Was Kann im Internet passiren.","Wie entstant das Internet","","","","","","","","","","","","","1","2","1","1","3","keine Antwort"
"115","2019-01-30 14:52:51","1","en","2019-01-30 14:51:52","2019-01-30 14:52:51","92.210.63.11","","GSWF130","2","Wie läuft das Internet,","Wie wirden Handys gebaut","","","","","","","","","","","","","","1","2","2","3","3","Mädchen"
"116","","1","en","2019-01-30 14:52:08","2019-01-30 14:52:30","134.106.46.218","","","","","","","","","","","","","","","","","","","","","","","",""
"117","2019-01-30 14:54:59","1","en","2019-01-30 14:52:54","2019-01-30 14:54:59","92.210.63.11","","GSWF130","3","Wie lange Arbeitest du schon daran?","Wie würdest du einen Roboter gestalten (baun)?","Wie würd dein Roboter heißen?","Wenn du einen Computer bauen würdest wie (-) würde der aussehen?","","","","","","","","","","","","1","5","2","3","2","Mädchen"
"118","2019-01-30 14:58:22","1","en","2019-01-30 14:55:07","2019-01-30 14:58:22","92.210.63.11","","GSWF130","4","Wie seit ihr auf das Thema gekommen?","Kann ein Roboter Fußballspielen?","Wie lange habt ihr für das Thema gebraucht?","Wie baut man einen Roboter?","Ist Technik für die Natur gut?","Wird es in der Zukunft mehr Technik geben?","Dut die Technik den Tieren gut?","Wie wird ein Handy gebaut?","Was können Roboter?","Wie baut man Computer?","Wird es in der Zukunft Flugautos geben?","Wird das Thema in allen Schulen weitergehen?","","","","1","1","1","5","5","Mädchen"
"119","2019-01-30 15:00:23","1","en","2019-01-30 14:58:27","2019-01-30 15:00:23","92.210.63.11","","GSWF130","5","Wer hat das handi erfunden.","Wer hat das eipet erfunden.","Würd es in zukunft Roboter die reden könn geben.","Würd es später elektrische Schuln geben.","Wird es mal kunstliche kimen geben","","","","","","","","","","","2","3","1","1","4","Junge"
"120","2019-01-30 15:19:42","1","en","2019-01-30 15:18:31","2019-01-30 15:19:42","92.210.63.11","","GSWF130","6","Wie lange arbeitest du schon.","War hast du schon ausprobird","","","","","","","","","","","","","","1","3","","2","2","Junge"
"121","2019-01-30 15:21:39","1","en","2019-01-30 15:19:44","2019-01-30 15:21:39","92.210.63.11","","GSWF130","7","Wie wird ein Computer gebaut?","","","","","","","","","","","","","","","2","1","2","2","3","Junge"
"122","2019-01-30 15:23:09","1","en","2019-01-30 15:21:47","2019-01-30 15:23:09","92.210.63.11","","GSWF130","8","Wie lange arbeitest du schon daran?","Wie würdest du einen Roboter bauen?","Wie würde dein Roboter heißen?","Wenn du einen Computer bauen würdest wie würde er aussehen?","","","","","","","","","","","","1","2","1","2","3","Mädchen"
"123","2019-01-30 15:25:05","1","en","2019-01-30 15:23:45","2019-01-30 15:25:05","92.210.63.11","","GSWF130","10","Wie ist es einen Roboter zu Programiren?","Brauch man ein gutes Abitur?","Ist es schwer einen Roboter zu bauen?","","","","","","","","","","","","","1","2","1","1","4","keine Antwort"
"124","2019-01-30 15:25:49","1","en","2019-01-30 15:25:10","2019-01-30 15:25:49","92.210.63.11","","GSWF130","11","vie viert ein roboter gebaut?","","","","","","","","","","","","","","","2","5","2","5","2","Junge"
"125","2019-01-30 15:27:07","1","en","2019-01-30 15:25:55","2019-01-30 15:27:07","92.210.63.11","","GSWF130","12","Warum kann man das Internet nicht sehen?","Wieso kann mann Apps sich herrunter laden?","Wieso muss man elecktronische sachen aufladen?","","","","","","","","","","","","","2","2","4","2","3","Mädchen"
"126","2019-01-30 15:29:52","1","en","2019-01-30 15:27:09","2019-01-30 15:29:52","92.210.63.11","","GSWF130","13","1. Wie baut mann einen Roboter?","2. Woraus besteht ein Handy oder ein Computer (Pc)?","3. Achtet ihr beim bauen auch auf die Natur?","4. Ab wie vielen Jahren Arbeitet mann bei euch?","5. Was muss mann für das Programmiren können?","6. Wie geht das Internet?","7. Baut ihr noch mehr neue Sachen wenn Ja was?","8. Ist Programmiren schwierig?","9. Wie baut ihr so viele Computer?","","","","","","","1","1","1","3","2","Mädchen"
"127","2019-01-30 15:33:47","1","en","2019-01-30 15:31:43","2019-01-30 15:33:47","92.210.63.11","","GSWF128","1","Wie kann der Computer erkennen wenn man ein Spiel hinein gibt?","Wie merkt der Display wenn darauf getatscht wird?","Wie funktoniert ein Roboter zb. von Starwars?","Ist das schwer sowas herzustellen, zb (das was oben steht)?","","","","","","","","","","","","1","2","3","4","1","Mädchen"
"128","2019-01-30 15:34:41","1","en","2019-01-30 15:33:49","2019-01-30 15:34:41","92.210.63.11","","GSWF128","2","Wie kommen die Apps auf das Teblet?","Wann wurde das Internet erfunden?","Gibt es Internet in allen Ländern?","","","","","","","","","","","","","2","2","3","2","4","Mädchen"
"129","2019-01-30 15:36:16","1","en","2019-01-30 15:34:45","2019-01-30 15:36:16","92.210.63.11","","GSWF128","3","Ab wie vielen Jahren sollte man ein Handy bekommen?","Darf man ab 9 Jahren schon aleine an den PC?","Was ist die beste Marke von einem Handy?","Was ist die beste anfänger Marke von einem Handy?","","","","","","","","","","","","2","4","3","3","2","Mädchen"
"130","2019-01-30 15:37:37","1","en","2019-01-30 15:36:18","2019-01-30 15:37:37","92.210.63.11","","GSWF128","4","Wie muss man mit Technik umgehen?","Wie meldet man sich im Internet an?","Wie hat man Roboter gebaut?","Was kann man alles auf TV gucken?","Wie viel kostet was?","","","","","","","","","","","1","1","1","1","4","Junge"
"131","2019-01-30 15:39:57","1","en","2019-01-30 15:37:53","2019-01-30 15:39:57","92.210.63.11","","GSWF128","5","1) Ist es schlimm wenn man ausversehn auf Neustart kommt aber eigentlich will man herunterfahren?","2) Wenn man spielt, warum kommt dann zwischendurch Werbung?","3) Wenn der Computer oder so abstürtzt ist das schlimm?","4) Wie kann das Handy so schnell was absenden?","","","","","","","","","","","","1","3","4","4","2","Mädchen"
"132","2019-01-30 15:43:00","1","en","2019-01-30 15:40:01","2019-01-30 15:43:00","92.210.63.11","","GSWF128","6","Wie fungsuniert das Internet?","Wie fungsunirt der Computer usw.?","Wie werden Roboter gebaut?","Was können Roboter alles?","Wie viele Roboter giebt es?","Was war der erste Roboter und in welchem Jahr wurd er gebaut?","Wer hat den ersten Roboter erfunden?","Wer hat den Computer erfunden und im welchen jahr wurd er erfunden?","Wer war der erster Mesch der das Handy erfunden hat?","","","","","","","1","3","1","5","2","Mädchen"
"133","2019-01-30 15:43:33","1","en","2019-01-30 15:43:04","2019-01-30 15:43:33","92.210.63.11","","GSWF128","7","Ich habe keine Frage.","","","","","","","","","","","","","","","1","5","1","1","1","Mädchen"
"134","2019-01-30 15:45:51","1","en","2019-01-30 15:43:39","2019-01-30 15:45:51","92.210.63.11","","GSWF128","8","Woher weiß der Computer wie das spiel gesteuert wir?","Mit wie vielen Jahren darf man ein Handy bekommen?","Mit wie vielen Jahren darf man Computer spiele spielen?","Woher weiß ein Roboter genau was er machen soll und wie er es machen muss?","Warum darf man jetzt erst mit 16 Jahren Wahts App haben und nicht wenn man ein Handy hat?","","","","","","","","","","","1","1","2","2","4","Junge"
"135","2019-01-30 15:47:25","1","en","2019-01-30 15:45:54","2019-01-30 15:47:25","92.210.63.11","","GSWF128","9","Wie alt ist der ältest mensch geworden?","Wie heißt der Schnellst läufer?","Wie alt Kann ein Pferd genau werden?","Wieso heißt der Tag Freitag?","Wieso ist deutsch wichtig","","","","","","","","","","","1","3","5","4","1","Junge"
"136","2019-01-30 16:02:42","1","en","2019-01-30 15:47:26","2019-01-30 16:02:42","92.210.63.11","","GSWF128","10","Warum hat ein Tableit o. Handy usw nur 100%?","Wie lange gibt es Internet schon?","Warum gibt es eigentlich Internet?","Gibt es Internet noch lange?","Wo für braucht man Internet?","Gibt es überal Internet auf der Welt?","","","","","","","","","","3","4","3","4","1","Mädchen"
"137","2019-01-30 16:04:32","1","en","2019-01-30 16:02:54","2019-01-30 16:04:32","92.210.63.11","","GSWF128","11","Wie funlctionirt eine Speicherkarte?","Wie kann sich ein Roboter bewegen?","Woher lcommt das WLAN?","Wie Lcan der Computer so viel speichern?","","","","","","","","","","","","1","5","2","5","5","Junge"
"138","2019-01-30 16:05:08","1","en","2019-01-30 16:04:34","2019-01-30 16:05:08","92.210.63.11","","GSWF128","12","Wie fonzonirt das Handy?","","","","","","","","","","","","","","","1","1","4","4","1","Mädchen"
"139","2019-01-30 16:06:31","1","en","2019-01-30 16:05:10","2019-01-30 16:06:31","92.210.63.11","","GSWF128","13","kommt oft ein viros?","ist es schwer ein Hanye zubauen?","gibt es Roboter die über 1000000000000 € Kosten","","","","","","","","","","","","","2","3","5","3","2","Junge"
"140","2019-01-30 16:07:26","1","en","2019-01-30 16:06:34","2019-01-30 16:07:26","92.210.63.11","","GSWF128","14","Können auch sachen ohne Aku funktionieren?","Gibt es auch Einhornroborter?","","","","","","","","","","","","","","2","3","3","3","1","Mädchen"
"141","2019-01-30 16:08:30","1","en","2019-01-30 16:07:28","2019-01-30 16:08:30","92.210.63.11","","GSWF128","15","Wie fongshönirt das Handy?","Wie können die Roboter reden?","Wie würde strom erfunden?","","","","","","","","","","","","","1","5","2","3","2","Junge"
"142","2019-01-30 16:10:57","1","en","2019-01-30 16:08:32","2019-01-30 16:10:57","92.210.63.11","","GSWF128","16","Wie funtionirt das Internet?","Wie lange gibt es schon das Internet?","Wer hat den Computer erfunden?","Wer hat das Tablet erfunden?","Wer hat das Handy erfunden?","Wer hat das Internet erfunden?","Wo für braucht das Internet Strom?","Wie wird das Bild erzeugt?","Wie lange gibt es schon das Tablet?","Wie lange gibt es schon den Computer?","Wer wahr der erste der ein erlektrisches Gerät hatte?","","","","","1","5","4","4","5","Mädchen"
"143","2019-01-30 16:12:19","1","en","2019-01-30 16:10:59","2019-01-30 16:12:19","92.210.63.11","","GSWF128","17","Wie wird das Bild gezeigt?","Wiso braucht man eine Festplatte?","Wiso braucht man Wlan?","Wie kann man sachen im Internet herunterladen?","Wie Kann man sachen übers Internet bestellen?","","","","","","","","","","","1","1","1","2","2","Junge"
"144","2019-01-30 16:12:54","1","en","2019-01-30 16:12:20","2019-01-30 16:12:54","92.210.63.11","","GSWF128","18","Wie baut man Roboter","","","","","","","","","","","","","","","1","1","1","1","4","Junge"
"145","2019-01-30 16:13:57","1","en","2019-01-30 16:12:56","2019-01-30 16:13:57","92.210.63.11","","GSWF128","19","Wie baut man einen Roboter?","Wie kann man eine Tastatur am Computer anschließen?","Wie kann man eine Computermaus am Computer anschließen?","","","","","","","","","","","","","1","1","2","1","3","Mädchen"
"146","2019-01-30 16:15:15","1","en","2019-01-30 16:13:59","2019-01-30 16:15:15","92.210.63.11","","GSWF128","20","Wie werden Robota gebaut?","Was brauch mann mehr Handy Teblet?","Wie sied eine Simtkarte von innen aus?","Warum ist man so schnell mit dem Internet verbunden?","","","","","","","","","","","","1","3","4","1","4","Junge"
"147","2019-01-30 16:16:18","1","en","2019-01-30 16:15:17","2019-01-30 16:16:18","92.210.63.11","","GSWF128","21","Wie findet das Handy mich also bei Googelmaps? ","Wie hören roboter?","","","","","","","","","","","","","","3","4","1","5","3","Junge"
"148","2019-01-30 16:17:03","1","en","2019-01-30 16:16:20","2019-01-30 16:17:03","92.210.63.11","","GSWF128","22","Wie kann man was mit dem Handy wegschiken und das es dann bei den richtigen ankommt?","","","","","","","","","","","","","","","1","1","2","1","4","Mädchen"
"149","2019-01-30 16:18:11","1","en","2019-01-30 16:17:04","2019-01-30 16:18:11","92.210.63.11","","GSWF128","23","Wie kann eine Fernsteuerung einen Roboter kontrlieren?","Wer kriegt das Geld wenn wir Was auf unserem Tablet oder Handy Kaufen?","","","","","","","","","","","","","","2","3","1","1","4","Junge"
"150","2019-01-30 16:18:50","1","en","2019-01-30 16:18:15","2019-01-30 16:18:50","92.210.63.11","","GSWF128","24","Wie Handys funktionieren.","","","","","","","","","","","","","","","1","2","5","1","3","Junge"
"151","2019-01-30 16:20:00","1","en","2019-01-30 16:18:59","2019-01-30 16:20:00","92.210.63.11","","GSWF128","25","Wie baut man einen Roboter?","Wie kommen Handys miteinander in verbindung?","Was kann ein Roboter?","Wieviele verschiedene Roboter gibt es?","","","","","","","","","","","","5","2","2","5","3","Mädchen"
"152","2019-01-30 16:20:47","1","en","2019-01-30 16:20:07","2019-01-30 16:20:47","92.210.63.11","","GSWF128","26","Teblet, Hendie und Robotor.","","","","","","","","","","","","","","","1","1","3","4","2","Junge"
"153","2019-01-30 16:21:44","1","en","2019-01-30 16:20:48","2019-01-30 16:21:44","92.210.63.11","","GSWF128","27","Wie baut man einen Roboter?","Woher bekommt ein Handy die Antworten im Internet?","Was macht einen Computer schlau?","","","","","","","","","","","","","2","3","1","5","3","Junge"
"154","2019-01-30 16:22:18","1","en","2019-01-30 16:21:46","2019-01-30 16:22:18","92.210.63.11","","GSWF128","28","Weis Google alles?","","","","","","","","","","","","","","","2","2","3","2","4","Mädchen"
"155","2019-01-30 16:23:26","1","en","2019-01-30 16:22:25","2019-01-30 16:23:26","92.210.63.11","","GSWF128","29","Wie kann das Internet alles wissen?","Wie fungzonirt das Handy?","Woher kommt die Musik aus dem Radio?","","","","","","","","","","","","","2","2","2","1","2","Junge"
"156","2019-01-30 16:24:42","1","en","2019-01-30 16:23:28","2019-01-30 16:24:42","92.210.63.11","","GSWF128","30","Wie kann man sowas Lernen?","Wie alt muss man für den Beruf sein?","Wie vielege Stunden muss man an einem Tag arbeiten?","","","","","","","","","","","","","2","1","3","3","1","Mädchen"
"157","2019-01-30 16:25:54","1","en","2019-01-30 16:24:46","2019-01-30 16:25:54","92.210.63.11","","GSWF128","31","Wo her Kommt das Internet?","Wer hat das Internet erfunden?","Wie funksioniren Roboter?","Wo raus werden Roboter gebaut?","","","","","","","","","","","","2","1","3","4","1","Mädchen"
"158","2019-01-30 16:26:49","1","en","2019-01-30 16:25:55","2019-01-30 16:26:49","92.210.63.11","","GSWF128","32","Ich wiel wissen warom man auf schnepschet andere sehen kann.","","","","","","","","","","","","","","","1","1","4","4","1","Junge"
"159","2019-02-12 11:33:04","1","en","2019-02-12 11:29:26","2019-02-12 11:33:04","79.218.45.57","","GSWF107","1","Wie funkztioniert ein Handy?","Wie funkzioniert ein Computer?","","","","","","","","","","","","","","1","1","2","5","1","Junge"
"160","2019-02-12 11:33:58","1","en","2019-02-12 11:33:06","2019-02-12 11:33:58","79.218.45.57","","GSWF107","2","Warum kann mann manche sachen nicht installieren?","Warum kann ich kick the bady nicht spielen?","","","","","","","","","","","","","","1","1","1","1","4","Junge"
